,country,fireArms,militaryArms,lawEnfArms,GDPPC,genderEquality,genderEqualityInEconomy,genderEqualityInEducation,genderEqualityInHealth,genderEqualityInPolitic,giniWB,giniCIA,homicideByGuns,suicideByGuns,gunDeath,gunViolence,HIVCases,HIVDeaths,homeless,homicideRate,immigrants,emigrants,incarcerations,incarcerationMrate,incarcerationFrate,jewishPop,literacyRate,activeDutyMilitary,paramilitary,reservesMilitary,annualMinimalWageEarnings,MurderRate,nobelPrize,obesityRate,oilProduction,oilReserves,PISAScore,policeKillings,povertyRate,christians,muslims,hindus,buddhists,folkReligions,jews,smokingRate,smokingRateMale,smokingRateFemale,suicideRate,suicideRateMale,suicideRateFemale,unemploymentRate,gini,workWeekAverage
0,United States,393347000.0,4535380.0,1016000.0,63416.0,0.763,0.754,1.0,0.97,0.329,41.4,41.1,4.46,7.32,40175.0,37200.0,,,580466.0,4.957,50632836.0,2996223.0,2068800.0,0.9,0.1,6000000.0,99.0,1388100.0,0.0,844950.0,15080.0,4.957,400.0,36.2,11567000.0,68.8,1485.0,946.0,17.8,243060000.0,2770000.0,1790000.0,3570000.0,630000.0,5690000.0,25.1,30.9,19.3,16.1,25.0,7.5,8.1,41.4,33.9
1,Falkland Islands,2000.0,,30.0,,,,,,,,36.0,,,,,,,,,1957.0,1518.0,,,,,,,,,,,,,,,,,,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,,,
2,Yemen,14859000.0,28500.0,,1927.0,0.492,0.282,0.717,0.968,0.001,36.7,36.7,,,,670.0,11000.0,500.0,3858000.0,6.7721,387113.0,1301166.0,9719.0,0.99,0.01,500.0,69.962,40000.0,0.0,0.0,,6.7721,1.0,17.1,70000.0,3.0,,,48.6,40000.0,23830000.0,150000.0,5000.0,5000.0,5000.0,20.9,32.5,9.3,5.8,7.0,4.6,13.5,36.7,
3,New Caledonia,115000.0,,700.0,,,,,,,,,,,,,,,,3.199,73141.0,5839.0,520.0,0.99,0.01,,96.9378,,,,,3.199,,,,,,,,210000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,14.6,,
4,Serbia,2719000.0,384422.0,53100.0,19146.0,0.78,0.716,0.998,0.969,0.437,36.2,36.2,0.61,2.49,306.0,397.0,3300.0,100.0,20000.0,1.2269,823011.0,1003962.0,10598.0,0.96,0.04,,98.0029,28150.0,3700.0,50150.0,,1.2269,,21.5,15000.0,,,,23.2,7490000.0,330000.0,5000.0,5000.0,5000.0,5000.0,40.6,40.0,41.2,11.4,16.6,6.3,9.0,36.2,
5,Montenegro,245000.0,5396.0,8000.0,,0.732,0.748,0.998,0.97,0.212,38.5,39.0,2.42,6.49,56.0,36.0,,,,2.23,70999.0,132965.0,863.0,0.97,0.03,,98.7199,2350.0,10100.0,0.0,,2.23,,23.3,,,,,24.5,490000.0,120000.0,5000.0,5000.0,5000.0,5000.0,,,,21.0,31.7,10.4,17.9,38.5,
6,Canada,12708000.0,233949.0,103000.0,48720.0,0.772,0.741,1.0,0.968,0.381,33.3,33.3,0.61,1.52,767.0,893.0,,,30000.0,1.7559,8049323.0,1292329.0,38570.0,0.94,0.06,393500.0,99.0,67400.0,4500.0,35600.0,20643.41,1.7559,28.0,29.4,4656000.0,168.1,1550.0,36.0,11.6,23470000.0,710000.0,470000.0,280000.0,390000.0,350000.0,17.5,22.7,12.4,11.8,17.6,6.1,9.5,33.3,32.5
7,Uruguay,1198000.0,62130.0,30000.0,22459.0,0.702,0.69,1.0,0.98,0.14,39.7,39.7,4.78,4.68,399.0,357.0,12000.0,200.0,,12.0605,108267.0,367060.0,13402.0,0.95,0.05,16000.0,98.4421,21000.0,1400.0,0.0,,12.0605,,27.9,,,,67.0,8.8,1950000.0,5000.0,5000.0,5000.0,30000.0,5000.0,21.8,25.2,18.4,21.2,34.5,8.9,10.5,39.7,29.5
8,Cyprus,285000.0,99000.0,11000.0,40107.0,0.707,0.694,0.998,0.96,0.177,32.7,31.4,1.05,0.58,22.0,19.0,,100.0,,1.2613,190366.0,173210.0,716.0,0.95,0.05,500.0,99.0598,15000.0,750.0,50000.0,,1.2613,1.0,21.8,,,,,14.7,810000.0,280000.0,5000.0,5000.0,5000.0,5000.0,36.7,50.1,23.3,3.6,6.0,1.3,7.6,32.7,34.7
9,Finland,1793000.0,475030.0,14000.0,49853.0,0.861,0.806,1.0,0.97,0.669,27.3,27.4,0.32,2.94,180.0,186.0,4000.0,100.0,4886.0,1.6297,386052.0,311889.0,2743.0,0.92,0.08,,100.0,23800.0,14200.0,216000.0,,1.6297,5.0,22.2,,,1549.0,1.0,12.2,4300000.0,40000.0,5000.0,5000.0,5000.0,5000.0,19.7,21.0,18.3,15.3,23.2,7.6,7.8,27.3,30.6
10,Lebanon,1927000.0,130150.0,41000.0,11564.0,0.638,0.487,0.964,0.97,0.129,31.8,31.8,,,,91.0,2700.0,100.0,,2.4929,1712762.0,856814.0,6670.0,0.97,0.03,,94.0511,60000.0,20000.0,0.0,,2.4929,,33.7,,,,,27.4,1620000.0,2590000.0,5000.0,5000.0,5000.0,5000.0,42.6,49.4,35.9,2.8,3.8,1.7,11.3,31.8,
11,Iceland,106000.0,650.0,590.0,55596.0,0.892,0.846,0.999,0.964,0.76,26.1,26.8,0.0,1.25,0.0,5.0,,100.0,349.0,0.891,65424.0,43251.0,106.0,0.93,0.07,,99.0,0.0,250.0,0.0,,0.891,1.0,21.9,,,,0.0,8.8,300000.0,5000.0,5000.0,5000.0,5000.0,5000.0,13.8,13.9,13.7,11.9,19.8,3.9,5.5,26.1,28.0
12,Bosnia and Herzegovina,1185000.0,27300.0,29000.0,15047.0,,,,,,33.0,33.0,,,,59.0,,,,1.1733,36042.0,1687639.0,1813.0,0.97,0.03,,98.4858,10500.0,0.0,0.0,,1.1733,2.0,17.9,,,,,16.9,1970000.0,1700000.0,5000.0,5000.0,5000.0,5000.0,38.3,46.3,30.2,10.9,17.6,4.5,15.9,33.0,
13,Austria,2577000.0,240880.0,37900.0,55218.0,0.777,0.665,1.0,0.97,0.473,30.8,29.7,0.12,2.69,259.0,253.0,7400.0,100.0,22580.0,0.9672,1738183.0,600740.0,8132.0,0.94,0.06,10000.0,98.0,22050.0,0.0,125600.0,,0.9672,22.0,20.1,10000.0,,1473.0,,13.3,6750000.0,450000.0,5000.0,20000.0,5000.0,10000.0,29.1,30.4,27.7,14.6,22.8,6.7,5.4,30.8,31.0
14,North Macedonia,621000.0,29530.0,21000.0,16712.0,0.715,0.647,0.977,0.97,0.267,33.0,,,,,,,,,1.2002,131311.0,693896.0,2125.0,0.97,0.03,500.0,97.8438,8000.0,7600.0,4850.0,,1.2002,1.0,,,,,,21.6,,,,,,,,,,9.4,13.9,4.8,17.2,33.0,
15,Norway,1537000.0,188646.0,13000.0,65800.0,0.849,0.792,1.0,0.964,0.64,27.6,27.0,0.1,1.63,94.0,93.0,5800.0,100.0,3909.0,0.4683,852238.0,191392.0,3034.0,0.96,0.05,,100.0,23250.0,0.0,40000.0,,0.4683,13.0,23.1,1744000.0,7.9,1490.0,1.0,12.7,4140000.0,180000.0,20000.0,30000.0,5000.0,5000.0,13.0,15.5,10.5,11.8,15.8,7.7,4.4,27.6,26.6
16,Liechtenstein,11000.0,,200.0,,,,,,,,,,,,,,,0.0,2.6373,25877.0,3706.0,12.0,0.86,0.14,,100.0,,,,,2.6373,,,,,,,,30000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,2.0,,
17,Malta,119000.0,5547.0,1637.0,42856.0,0.703,0.656,1.0,0.965,0.192,28.7,29.2,,,,5.0,,,,1.5936,114760.0,102793.0,821.0,0.93,0.07,500.0,94.0666,1950.0,0.0,180.0,,1.5936,,28.9,,,,1.0,17.1,400000.0,5000.0,5000.0,5000.0,5000.0,5000.0,25.1,27.8,22.5,6.1,9.8,2.3,4.3,28.7,36.8
18,Switzerland,2332000.0,324484.0,34000.0,72874.0,0.798,0.743,0.992,0.964,0.494,33.1,32.7,0.15,2.74,258.0,308.0,17000.0,200.0,2200.0,0.5865,2491249.0,713623.0,6316.0,0.94,0.06,18500.0,99.0,19550.0,0.0,196450.0,,0.5865,27.0,19.5,,,1494.0,0.0,16.0,5570000.0,380000.0,40000.0,40000.0,5000.0,20000.0,25.1,27.8,22.5,14.5,20.2,9.0,4.8,33.1,29.9
19,New Zealand,1212000.0,38280.0,13000.0,42018.0,0.84,0.763,1.0,0.966,0.63,,36.2,0.11,0.84,51.0,55.0,3600.0,100.0,5031.0,0.7444,1381724.0,806159.0,8397.0,0.94,0.06,,99.0,9000.0,0.0,2300.0,20932.45,0.7444,3.0,30.8,8600.0,,1508.0,1.0,,2490000.0,50000.0,90000.0,70000.0,20000.0,5000.0,14.8,16.1,13.5,11.0,16.5,5.8,4.6,,34.2
20,Sweden,2296000.0,139180.0,38000.0,54146.0,0.823,0.81,0.996,0.962,0.522,30.0,28.8,0.32,1.23,160.0,165.0,11000.0,,34000.0,1.0831,2003908.0,327581.0,7607.0,0.94,0.06,15000.0,99.0,29750.0,21200.0,0.0,,1.0831,32.0,20.6,,,,1.0,17.1,6310000.0,430000.0,20000.0,40000.0,20000.0,10000.0,8.0,6.0,8.0,14.7,19.9,9.5,8.3,30.0,30.9
21,Pakistan,43917000.0,2315480.0,944000.0,5150.0,0.556,0.316,0.811,0.944,0.154,31.6,33.5,,,,2780.0,200000.0,8200.0,20000000.0,3.8831,3276580.0,6328400.0,82139.0,0.98,0.02,,56.4403,654000.0,291000.0,550000.0,,3.8831,2.0,8.6,83000.0,,,495.0,24.3,2750000.0,167410000.0,3330000.0,20000.0,30000.0,5000.0,20.0,33.6,6.4,8.9,13.3,4.3,4.1,31.6,37.8
22,Greenland,13000.0,,300.0,,,,,,,,33.9,,,,13.0,,,,5.3184,5899.0,17866.0,126.0,0.86,0.14,,100.0,,,,,5.3184,,,,,,,,50000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,9.1,,
23,Portugal,2186000.0,333640.0,89000.0,34043.0,0.775,0.746,0.992,0.972,0.39,33.5,33.8,0.42,1.01,161.0,248.0,42000.0,500.0,8209.0,0.7898,1001963.0,2081419.0,11603.0,0.93,0.07,,95.4281,27250.0,24700.0,211700.0,9584.72,0.7898,2.0,20.8,,,1476.0,1.0,17.2,9810000.0,30000.0,5000.0,20000.0,10000.0,5000.0,27.9,33.3,22.4,11.5,17.9,5.7,6.8,33.5,35.9
24,Germany,15822000.0,483016.0,466000.0,54076.0,0.796,0.706,0.997,0.972,0.509,31.9,31.9,1.01,0.02,826.0,1220.0,93000.0,500.0,237000.0,0.948,15762457.0,3855268.0,58004.0,0.94,0.06,118000.0,99.0,183500.0,0.0,30050.0,22097.86,0.948,111.0,22.3,34000.0,,1501.0,11.0,14.8,56540000.0,4760000.0,80000.0,210000.0,40000.0,230000.0,28.0,29.9,26.0,12.3,18.6,6.2,3.8,31.9,26.7
25,France,12732000.0,566430.0,497000.0,46062.0,0.784,0.71,1.0,0.97,0.457,32.4,31.6,0.21,2.16,1843.0,2330.0,190000.0,500.0,300000.0,1.1986,8524876.0,2341908.0,62991.0,0.96,0.04,446000.0,99.0,203250.0,130800.0,41050.0,20903.33,1.1986,71.0,21.6,,,1481.0,26.0,13.6,39560000.0,4710000.0,30000.0,280000.0,220000.0,310000.0,34.6,36.0,33.2,13.8,20.4,7.6,8.0,32.4,28.9
26,Iraq,7588000.0,611000.0,56000.0,10003.0,0.535,0.228,0.807,0.968,0.136,29.5,29.5,,,,3240.0,,,1224000.0,10.0703,365766.0,2077976.0,57000.0,0.97,0.03,,79.7218,193000.0,148000.0,0.0,,10.0703,1.0,30.4,4260000.0,145.0,,176.1,18.9,270000.0,31340000.0,5000.0,5000.0,5000.0,5000.0,22.2,40.8,3.6,3.6,5.2,2.0,13.0,29.5,
27,Reunion,171000.0,,2000.0,,,,,,,,,,,,,,,,1.8214,131769.0,3064.0,,,,,,,,,,1.8214,,,,,,,,740000.0,40000.0,40000.0,5000.0,5000.0,5000.0,,,,,,,,,
28,French Guiana,55000.0,,2000.0,,,,,,,,,,,,,,,,13.1844,119249.0,4595.0,712.0,0.92,0.08,,,,,,,13.1844,,,,,,,,200000.0,5000.0,5000.0,5000.0,20000.0,5000.0,,,,,,,,,
29,Monaco,7000.0,,1000.0,,,,,,,,,,,,,,,,0.0,26601.0,32552.0,13.0,0.92,0.08,,99.0,,,,,0.0,,,,,,,,30000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,6.3,,
30,Luxembourg,110000.0,2340.0,5000.0,118001.0,0.726,0.691,1.0,0.965,0.247,35.4,34.9,0.0,1.16,7.0,9.0,1200.0,100.0,2059.0,0.3379,298062.0,81757.0,548.0,0.95,0.05,,100.0,900.0,600.0,0.0,28603.91,0.3379,2.0,22.6,,,,1.0,17.5,360000.0,10000.0,5000.0,5000.0,5000.0,5000.0,21.7,23.6,19.8,11.3,15.3,7.1,6.8,35.4,29.0
31,Bahamas,74000.0,2470.0,5000.0,,0.725,0.857,1.0,0.98,0.064,,,,,,58.0,4700.0,200.0,,31.9582,63583.0,53793.0,1617.0,0.97,0.03,500.0,95.6,1300.0,0.0,0.0,,31.9582,,31.6,,,,11.0,,330000.0,5000.0,5000.0,5000.0,5000.0,5000.0,10.9,18.6,3.2,3.5,5.9,1.3,10.0,,
32,Jordan,1473000.0,286450.0,60000.0,10306.0,0.638,0.538,0.991,0.957,0.066,33.7,33.7,,,,199.0,,,0.0,1.3591,3457691.0,814909.0,17708.0,0.98,0.02,,98.0144,100500.0,15000.0,65000.0,,1.3591,,35.5,,,,,15.7,130000.0,6010000.0,5000.0,20000.0,5000.0,5000.0,,,,1.6,2.5,0.7,16.8,33.7,
33,Venezuela,5895000.0,353300.0,173000.0,5178.0,0.699,0.617,0.998,0.98,0.199,44.8,39.0,26.48,0.14,14036.0,12800.0,100000.0,4200.0,,36.6876,1324193.0,5415337.0,37543.0,0.94,0.06,,95.3992,123000.0,220000.0,8000.0,,36.6876,1.0,25.6,788000.0,303.8,,5287.0,33.1,25890000.0,90000.0,5000.0,5000.0,60000.0,5000.0,,,,2.1,3.5,0.7,5.0,44.8,
34,Greece,1920000.0,642510.0,99000.0,28748.0,0.689,0.672,0.994,0.966,0.123,32.9,34.4,0.53,0.86,159.0,166.0,17000.0,100.0,40000.0,0.9409,1340456.0,1088507.0,11001.0,0.95,0.05,,95.2929,142700.0,4000.0,221350.0,12128.0,0.9409,2.0,24.9,,,,,17.9,10010000.0,610000.0,20000.0,5000.0,10000.0,5000.0,39.1,45.3,32.8,5.1,8.4,1.9,16.3,32.9,39.2
35,Saudi Arabia,5468000.0,481350.0,214000.0,46811.0,0.603,0.39,0.98,0.964,0.077,,45.9,,,,274.0,12000.0,200.0,,1.2658,13454842.0,299268.0,68056.0,0.98,0.02,,94.8424,227000.0,24500.0,0.0,,1.2658,,35.4,10225000.0,297.5,,,,1200000.0,25520000.0,310000.0,90000.0,70000.0,5000.0,16.6,31.2,2.0,6.0,8.9,2.0,7.4,,
36,United Arab Emirates,1569000.0,163800.0,41000.0,58753.0,0.716,0.51,0.987,0.963,0.403,26.0,32.5,,,,135.0,,100.0,,0.4638,8716332.0,203214.0,9826.0,0.88,0.12,500.0,92.9864,63000.0,0.0,0.0,,0.4638,,31.7,2954000.0,97.8,,,,940000.0,5780000.0,490000.0,150000.0,5000.0,5000.0,18.2,35.6,0.8,6.4,8.0,3.0,2.2,26.0,
37,Paraguay,1140000.0,235780.0,21000.0,12881.0,0.702,0.672,0.998,0.974,0.164,45.7,46.2,5.78,1.16,546.0,716.0,19000.0,500.0,,7.1448,169567.0,896484.0,14648.0,0.95,0.05,,95.5361,13950.0,14800.0,164500.0,,7.1448,,20.3,,,,,23.5,6250000.0,5000.0,5000.0,5000.0,110000.0,5000.0,12.8,20.8,4.7,6.0,8.7,3.2,7.5,45.7,
38,Oman,792000.0,118360.0,31000.0,30178.0,0.608,0.453,0.977,0.961,0.041,,,,,,10.0,2500.0,100.0,,0.2692,2372836.0,25099.0,1960.0,0.96,0.05,,93.9716,42600.0,4400.0,0.0,,0.2692,,27.0,998000.0,5.4,,,,180000.0,2390000.0,150000.0,20000.0,5000.0,5000.0,9.6,18.5,0.7,4.9,6.8,1.0,2.9,,
39,Kuwait,685000.0,82580.0,11000.0,41627.0,0.621,0.498,0.997,0.968,0.022,,,0.36,0.0,15.0,19.0,,,,1.8215,3110159.0,212271.0,4420.0,0.94,0.06,,96.1177,17500.0,7100.0,23700.0,,1.8215,,37.9,2610000.0,101.5,,,,390000.0,2030000.0,230000.0,80000.0,5000.0,5000.0,22.1,40.9,3.4,2.9,4.3,0.7,2.2,,
40,Qatar,390000.0,30680.0,5000.0,93508.0,0.624,0.504,0.99,0.948,0.053,,41.1,0.15,,4.0,8.0,,,,0.366,2226192.0,25705.0,1150.0,0.85,0.15,,97.7571,16500.0,5000.0,0.0,,0.366,,35.1,1297000.0,25.2,,,,240000.0,1190000.0,240000.0,50000.0,5000.0,5000.0,14.0,26.7,1.3,5.8,7.2,1.7,0.1,,
41,United States Virgin Islands,18000.0,,300.0,,,,,,,,,,,,,,,,,56753.0,3908.0,412.0,0.97,0.03,500.0,,,,,,,,,,,,,,100000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,,,
42,Turkey,13249000.0,1390180.0,620000.0,30253.0,0.638,0.486,0.975,0.967,0.123,41.9,41.9,1.03,0.81,1626.0,2430.0,,,70000.0,2.5905,6052652.0,3411408.0,291198.0,0.96,0.04,14500.0,95.6881,355200.0,156800.0,378700.0,4516.2,2.5905,2.0,32.1,67000.0,,,,14.4,320000.0,71330000.0,5000.0,40000.0,20000.0,20000.0,29.3,41.5,17.0,2.4,3.6,1.2,13.1,41.9,35.2
43,Suriname,88000.0,5985.0,2000.0,14513.0,0.729,0.703,0.993,0.969,0.252,57.9,,,,,28.0,5200.0,200.0,,5.4338,47801.0,273209.0,1000.0,0.97,0.03,500.0,95.539,1840.0,0.0,0.0,,5.4338,,26.4,14000.0,,,,,270000.0,80000.0,100000.0,5000.0,30000.0,5000.0,,,,25.4,38.8,11.8,7.9,57.9,
44,Guyana,122000.0,10890.0,4000.0,19684.0,0.728,0.638,0.984,0.98,0.31,45.1,44.6,,,,79.0,9000.0,200.0,,14.2489,31169.0,438413.0,1884.0,0.97,0.03,,87.5353,3400.0,0.0,670.0,,14.2489,,20.2,,,,12.1,,500000.0,50000.0,190000.0,5000.0,5000.0,5000.0,12.2,22.1,2.2,40.3,63.0,17.4,3.2,45.1,
45,Slovenia,324000.0,131686.0,13000.0,40067.0,0.741,0.803,1.0,0.977,0.184,24.6,24.2,0.2,2.34,55.0,51.0,,,3799.0,0.4813,277964.0,160197.0,1360.0,0.95,0.05,500.0,99.7148,7250.0,5950.0,1500.0,15269.87,0.4813,1.0,20.2,,,1511.0,,12.0,1590000.0,70000.0,5000.0,5000.0,5000.0,5000.0,22.7,25.1,20.3,19.8,31.4,8.3,5.0,24.6,30.6
46,Namibia,396000.0,11880.0,15000.0,9396.0,0.809,0.794,1.0,0.98,0.463,59.1,59.1,,,,84.0,210000.0,3000.0,,17.6783,109391.0,47770.0,7400.0,0.97,0.03,500.0,90.8205,9900.0,6000.0,0.0,,17.6783,,17.2,,,,,17.4,2230000.0,5000.0,5000.0,5000.0,5000.0,5000.0,17.9,28.4,7.4,9.7,16.7,3.2,19.9,59.1,
47,Thailand,10342000.0,1052815.0,230000.0,18236.0,0.71,0.787,0.992,0.978,0.084,34.9,36.4,,,,3830.0,500000.0,12000.0,2700.0,2.582,3632496.0,1086985.0,309282.0,0.89,0.12,500.0,93.983,360850.0,138700.0,200000.0,,2.582,,10.0,161000.0,0.3,,,9.9,600000.0,3770000.0,70000.0,64420000.0,60000.0,5000.0,22.8,42.5,3.1,8.8,15.0,2.9,1.1,34.9,40.2
48,Australia,3573000.0,214520.0,69000.0,51680.0,0.731,0.7,1.0,0.968,0.258,34.4,34.4,0.18,0.8,262.0,274.0,30000.0,100.0,100568.0,0.8916,7685860.0,598765.0,42909.0,0.93,0.08,118000.0,99.0,58600.0,0.0,30100.0,23975.61,0.8916,12.0,29.0,365000.0,2.4,1497.0,4.0,12.4,14980000.0,540000.0,310000.0,600000.0,150000.0,110000.0,16.2,18.7,13.6,12.5,18.6,6.4,6.5,34.4,33.2
49,Italy,8609000.0,502960.0,273000.0,40861.0,0.721,0.609,0.997,0.965,0.313,35.9,35.9,0.35,0.87,793.0,974.0,140000.0,1000.0,50724.0,0.5691,6386998.0,3258831.0,53930.0,0.96,0.04,27000.0,99.0158,165500.0,175750.0,18300.0,,0.5691,21.0,19.9,114000.0,,,,20.1,50440000.0,2220000.0,90000.0,110000.0,80000.0,50000.0,23.4,27.1,19.6,6.7,10.1,3.5,9.2,35.9,33.0
50,San Marino,5000.0,,160.0,58427.0,,,,,,,,,,,,,,,0.0,5543.0,2407.0,0.0,0.0,0.0,,96.0,,,,,0.0,,,,,,,,30000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,5.8,,
51,Honduras,1171000.0,107720.0,29000.0,5450.0,0.716,0.721,1.0,0.964,0.179,48.2,52.1,66.64,0.41,5846.0,1780.0,22000.0,1000.0,1000000.0,38.9256,39195.0,985077.0,21675.0,0.94,0.06,,88.4246,14950.0,8000.0,60000.0,,38.9256,,21.4,,,,37.0,48.3,6660000.0,10000.0,5000.0,5000.0,80000.0,5000.0,,,,2.1,3.3,0.8,11.0,48.2,
