,country,fireArms,militaryArms,lawEnfArms,GDPPC,genderEquality,genderEqualityInEconomy,genderEqualityInEducation,genderEqualityInHealth,genderEqualityInPolitic,giniWB,giniCIA,homicideByGuns,suicideByGuns,gunDeath,gunViolence,HIVCases,HIVDeaths,homeless,homicideRate,immigrants,emigrants,incarcerations,incarcerationMrate,incarcerationFrate,jewishPop,literacyRate,activeDutyMilitary,paramilitary,reservesMilitary,annualMinimalWageEarnings,MurderRate,nobelPrize,obesityRate,oilProduction,oilReserves,PISAScore,policeKillings,povertyRate,christians,muslims,hindus,buddhists,folkReligions,jews,smokingRate,smokingRateMale,smokingRateFemale,suicideRate,suicideRateMale,suicideRateFemale,unemploymentRate,gini,workWeekAverage
52,Andorra,10000.0,,976.0,,,,,,,,,,,,1.0,,,,0.0,45574.0,11132.0,61.0,0.88,0.12,,100.0,,,,,0.0,,25.6,,,,,,70000.0,5000.0,5000.0,5000.0,5000.0,5000.0,33.8,38.1,29.5,,,,,,
53,Croatia,576000.0,75120.0,39000.0,27717.0,0.733,0.666,0.995,0.978,0.294,29.7,30.4,0.24,2.17,97.0,135.0,1700.0,100.0,3000.0,0.5774,528056.0,1039526.0,3941.0,0.94,0.06,,99.2726,15200.0,3000.0,18350.0,,0.5774,2.0,24.4,12000.0,,,,18.3,4110000.0,60000.0,5000.0,5000.0,5000.0,5000.0,36.6,37.9,35.3,16.4,25.3,8.1,7.5,29.7,35.2
54,Lithuania,385000.0,81240.0,17000.0,38824.0,0.804,0.808,0.998,0.98,0.429,35.7,37.3,,,,51.0,3400.0,100.0,4024.0,4.5694,145184.0,658057.0,5153.0,0.95,0.05,,99.8233,19850.0,14400.0,6700.0,9365.14,4.5694,3.0,26.3,700.0,,,,20.6,2980000.0,5000.0,5000.0,5000.0,5000.0,5000.0,27.1,35.3,19.0,26.1,45.4,9.6,8.5,35.7,36.3
55,Libya,851000.0,,,5893.0,,,,,,,,,,,82.0,9500.0,100.0,278000.0,,826537.0,185518.0,9100.0,0.99,0.01,,91.3889,,,,,,,32.5,1220000.0,48.4,,,,170000.0,6140000.0,5000.0,20000.0,5000.0,5000.0,,,,4.5,6.0,2.9,19.0,,
56,Mexico,16809000.0,895285.0,591000.0,19130.0,0.757,0.59,0.997,0.975,0.468,45.4,36.8,6.34,0.44,9745.0,15400.0,340000.0,4300.0,456000.0,29.0711,1197624.0,11185737.0,220866.0,0.94,0.06,40000.0,94.5456,216000.0,111900.0,81500.0,1193.78,29.0711,3.0,28.9,1733000.0,6.1,,371.0,41.9,107910000.0,5000.0,5000.0,5000.0,70000.0,70000.0,13.9,21.2,6.5,5.3,8.5,2.2,4.5,45.4,41.1
57,Bahrain,181000.0,25796.0,20000.0,48766.0,0.632,0.518,0.985,0.959,0.066,,,,,,13.0,,,,0.5239,936094.0,58270.0,3485.0,0.95,0.05,500.0,95.7173,8200.0,11260.0,0.0,,0.5239,,29.8,185000.0,,,,,180000.0,890000.0,120000.0,30000.0,5000.0,5000.0,25.1,41.5,8.6,8.9,12.5,2.4,1.2,,
58,Belgium,1451000.0,80880.0,78000.0,51096.0,0.789,0.709,1.0,0.968,0.48,27.2,27.4,0.14,1.03,143.0,250.0,,,,1.6901,2005479.0,577463.0,10808.0,0.95,0.05,29000.0,99.0,26300.0,0.0,5100.0,22133.37,1.6901,11.0,22.1,,,1500.0,5.0,14.8,6880000.0,630000.0,5000.0,30000.0,20000.0,30000.0,25.0,26.9,23.1,18.3,24.9,11.8,5.5,27.2,30.5
59,Afghanistan,4270000.0,331170.0,239000.0,2390.0,0.444,0.18,0.514,0.952,0.132,,29.4,,,,4050.0,12000.0,1000.0,4660000.0,6.6556,144098.0,5853838.0,28240.0,0.97,0.03,,38.168,178800.0,99000.0,0.0,,6.6556,,5.5,,,,606.0,54.5,30000.0,31330000.0,10000.0,5000.0,5000.0,5000.0,,,,4.1,4.6,3.6,11.7,,
60,Czech Republic,1323000.0,157233.0,76000.0,40618.0,0.711,0.662,1.0,0.978,0.203,25.0,,0.15,1.66,215.0,209.0,,,23830.0,,540921.0,1026108.0,18969.0,0.92,0.08,,,21750.0,0.0,0.0,10342.44,,6.0,26.0,1700.0,,1486.0,,10.1,2450000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,2.5,25.0,34.4
61,Equatorial Guinea,112000.0,2760.0,2000.0,17788.0,,,,,,,,,,,12.0,68000.0,2300.0,,,230618.0,128774.0,500.0,0.95,0.05,,95.1957,1450.0,0.0,0.0,,,,8.0,95000.0,1.1,,,76.8,620000.0,30000.0,5000.0,5000.0,10000.0,5000.0,,,,7.9,9.4,6.0,25.0,,
62,Somalia,1145000.0,37620.0,8000.0,925.0,,,,,,36.8,,,,,338.0,8700.0,500.0,2968000.0,,58590.0,2034221.0,,,,,37.8,19800.0,0.0,0.0,,,,8.3,,,,,,5000.0,9310000.0,5000.0,5000.0,5000.0,5000.0,,,,7.9,12.0,3.8,,36.8,
63,Russia,17620000.0,30272900.0,2432000.0,27903.0,0.708,0.767,1.0,0.98,0.085,37.5,37.5,,,,4380.0,1000000.0,,64000.0,8.2095,11636911.0,10756697.0,471490.0,0.92,0.08,150000.0,99.7196,1014000.0,554000.0,2000000.0,4734.24,8.2095,32.0,23.1,10503000.0,107.8,,,12.6,104750000.0,14290000.0,30000.0,170000.0,310000.0,230000.0,28.3,40.9,15.7,25.1,43.6,9.1,5.6,37.5,37.8
64,Chile,2220000.0,311900.0,66000.0,23366.0,0.716,0.61,1.0,0.97,0.283,44.4,44.4,1.02,0.7,455.0,495.0,77000.0,1000.0,14013.0,4.4049,1645015.0,643800.0,39670.0,0.92,0.08,16000.0,96.6275,77200.0,44700.0,40000.0,7319.53,4.4049,2.0,28.0,5000.0,,,,8.6,15300000.0,5000.0,5000.0,10000.0,260000.0,20000.0,44.7,49.2,40.3,9.0,14.9,3.2,11.2,44.4,36.8
65,Guatemala,2062000.0,160600.0,43000.0,8293.0,0.655,0.56,0.969,0.979,0.112,48.3,48.3,29.62,0.34,5993.0,5090.0,33000.0,1000.0,475000.0,22.5013,84311.0,1368431.0,24942.0,0.89,0.11,,79.0742,18050.0,25000.0,63850.0,,22.5013,2.0,21.2,6400.0,,,,59.3,13690000.0,5000.0,5000.0,5000.0,80000.0,5000.0,,,,5.9,9.3,2.6,2.2,48.3,
66,El Salvador,737000.0,127840.0,30000.0,8422.0,0.738,0.634,0.992,0.98,0.347,38.8,38.6,26.49,0.13,2942.0,2500.0,25000.0,1000.0,,52.0189,42767.0,1599058.0,36663.0,0.93,0.07,500.0,87.6482,24500.0,17000.0,9900.0,,52.0189,,24.6,,,,1087.0,22.8,5460000.0,5000.0,5000.0,5000.0,30000.0,5000.0,12.7,22.8,2.5,6.1,10.5,2.1,0.1,38.8,
67,Albania,350000.0,21750.0,19000.0,14218.0,0.77,0.748,0.999,0.956,0.377,33.2,33.2,,,,100.0,1400.0,100.0,,2.2895,48810.0,1250451.0,5042.0,0.98,0.02,500.0,97.5539,8000.0,0.0,0.0,,2.2895,,21.7,16000.0,,,,14.3,580000.0,2570000.0,5000.0,5000.0,5000.0,5000.0,29.2,50.5,7.9,4.3,5.9,2.7,11.7,33.2,
68,Guam,20000.0,,500.0,,,,,,,,,,,,5.0,,,,2.5049,80472.0,2213.0,600.0,0.93,0.07,,99.789,,,,,2.5049,,,,,,,,170000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,5.4,,
69,Angola,2982000.0,203300.0,60000.0,6932.0,0.657,0.646,0.759,0.976,0.245,51.3,51.3,,,,473.0,340000.0,16000.0,,4.8471,656434.0,668066.0,26000.0,0.97,0.03,,71.1642,107000.0,10000.0,0.0,,4.8471,,8.2,1158000.0,7.8,,100.1,32.3,17270000.0,40000.0,5000.0,5000.0,790000.0,5000.0,,,,6.1,10.0,2.3,9.6,51.3,
70,Panama,436000.0,,30000.0,27003.0,0.737,0.731,0.994,0.973,0.252,49.8,49.2,14.36,0.57,641.0,450.0,31000.0,500.0,,9.385,313165.0,139520.0,18942.0,0.95,0.05,10000.0,95.0382,0.0,26000.0,0.0,,9.385,,22.7,,,,,22.1,3270000.0,30000.0,5000.0,5000.0,20000.0,10000.0,6.9,11.1,2.7,2.9,4.7,1.0,18.6,49.8,
71,Hungary,1023000.0,147880.0,17000.0,33030.0,0.688,0.669,0.993,0.98,0.112,29.6,30.6,0.11,0.81,92.0,91.0,3700.0,100.0,30000.0,2.4872,584567.0,714420.0,16752.0,0.92,0.08,47000.0,99.3809,27800.0,12000.0,20000.0,10669.44,2.4872,13.0,26.4,19000.0,,,,12.3,8090000.0,5000.0,5000.0,5000.0,5000.0,10000.0,30.6,34.8,26.4,16.6,25.9,8.3,4.3,29.6,33.2
72,Latvia,205000.0,27936.0,17000.0,31509.0,0.778,0.822,1.0,0.976,0.313,35.1,35.6,0.18,0.94,27.0,41.0,5600.0,100.0,6877.0,4.3558,239422.0,380010.0,3124.0,0.93,0.07,,99.8927,6210.0,0.0,15900.0,8969.79,4.3558,1.0,23.6,,,,,22.9,1260000.0,5000.0,5000.0,5000.0,5000.0,5000.0,36.7,49.5,24.0,20.1,35.5,7.0,8.1,35.1,35.9
73,Colombia,4971000.0,350689.0,283000.0,14324.0,0.725,0.708,1.0,0.975,0.216,51.3,50.4,17.74,0.59,9387.0,13300.0,180000.0,3000.0,4943000.0,25.3438,1905393.0,3024273.0,97615.0,0.93,0.07,,94.5771,293200.0,187900.0,34950.0,7768.45,25.3438,2.0,22.3,748000.0,2.0,,169.0,35.7,42810000.0,10000.0,5000.0,5000.0,370000.0,5000.0,7.9,12.2,3.7,3.9,6.1,1.8,15.0,51.3,37.9
74,Georgia,402000.0,63950.0,41000.0,14918.0,0.732,0.705,1.0,0.977,0.245,35.9,36.4,0.49,0.09,79.0,124.0,9100.0,100.0,304010.0,2.2234,79368.0,861077.0,9444.0,0.97,0.03,,99.7596,20650.0,5400.0,0.0,,2.2234,,21.7,300.0,,,,19.5,3850000.0,470000.0,5000.0,5000.0,5000.0,5000.0,29.7,54.2,5.2,9.2,16.0,3.0,18.5,35.9,
75,Samoa,20000.0,,500.0,5653.0,,,,,,38.7,38.7,,,,4.0,,,,3.1461,4021.0,135732.0,400.0,0.94,0.06,,99.015,,,,,3.1461,,47.3,,,,,20.3,180000.0,5000.0,5000.0,5000.0,5000.0,5000.0,28.9,40.8,16.9,12.6,18.0,6.7,14.5,38.7,
76,Costa Rica,493000.0,,17000.0,19990.0,0.786,0.624,1.0,0.973,0.545,48.2,48.0,5.63,1.1,318.0,307.0,16000.0,500.0,3387.0,11.2613,520729.0,150241.0,15345.0,0.97,0.04,,97.6472,0.0,9800.0,0.0,9132.3,11.2613,1.0,25.7,,,,,21.0,4230000.0,5000.0,5000.0,5000.0,40000.0,5000.0,9.8,14.7,5.0,8.1,14.1,2.0,17.4,48.2,39.8
77,Belize,37000.0,3690.0,2000.0,6046.0,0.699,0.749,0.991,0.98,0.075,53.3,,,,,52.0,3800.0,200.0,,37.7886,62043.0,52756.0,1046.0,0.99,0.01,,82.7768,1500.0,150.0,700.0,,37.7886,,24.1,1000.0,,,,,270000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,7.1,12.5,1.7,9.1,53.3,
78,Ukraine,4396000.0,6600000.0,289000.0,13110.0,0.714,0.732,1.0,0.978,0.147,26.6,26.1,1.36,,598.0,847.0,260000.0,3100.0,734240.0,6.1837,4997387.0,6139144.0,49211.0,0.96,0.04,43000.0,99.7641,209000.0,102000.0,900000.0,,6.1837,6.0,24.1,33000.0,,,,1.1,38100000.0,560000.0,10000.0,20000.0,5000.0,50000.0,25.5,41.0,9.9,21.6,39.2,6.5,9.5,26.6,
79,Denmark,567000.0,124120.0,20000.0,58932.0,0.768,0.736,1.0,0.964,0.371,28.2,28.7,0.11,1.35,84.0,84.0,6700.0,100.0,6431.0,1.0083,717574.0,257025.0,4227.0,0.96,0.04,,99.0,14500.0,0.0,44000.0,,1.0083,13.0,19.7,68000.0,0.4,1503.0,0.0,12.5,4630000.0,230000.0,20000.0,10000.0,5000.0,5000.0,18.6,18.4,18.7,10.7,14.9,6.5,5.6,28.2,26.6
80,South Africa,5351000.0,350636.0,250481.0,12032.0,0.781,0.658,0.994,0.979,0.493,63.0,63.0,8.2,0.1,4859.0,3740.0,7800000.0,83000.0,200000.0,36.3992,2860495.0,914901.0,147922.0,0.98,0.02,52000.0,94.5979,65350.0,0.0,15050.0,,36.3992,11.0,28.3,,,,436.0,55.5,40710000.0,860000.0,570000.0,100000.0,210000.0,70000.0,31.4,46.8,16.0,23.5,37.6,9.8,29.2,63.0,42.1
81,South Sudan,1255000.0,351500.0,,791.0,,,,,,44.1,46.0,,,,323.0,180000.0,8900.0,1542000.0,14.871,882252.0,2575870.0,7000.0,0.89,0.11,,31.9763,185000.0,0.0,0.0,,14.871,,8.6,,3.5,,,76.4,6010000.0,610000.0,5000.0,5000.0,3270000.0,5000.0,,,,3.9,5.7,2.0,12.2,44.1,
82,Cayman Islands,6000.0,,400.0,,,,,,,,,,,,,,,,8.2172,29242.0,1908.0,205.0,0.94,0.06,,98.8678,,,,,8.2172,,,,,,,,50000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,4.2,,
83,Jamaica,246000.0,8681.0,12000.0,9975.0,0.741,0.768,1.0,0.968,0.23,45.5,35.0,30.38,0.34,905.0,533.0,32000.0,1000.0,,43.8523,23629.0,1118931.0,3719.0,0.96,0.04,500.0,88.4999,3950.0,0.0,980.0,,43.8523,,24.7,,,,137.0,19.9,2120000.0,5000.0,5000.0,5000.0,120000.0,5000.0,11.0,17.7,4.2,2.4,3.7,1.1,6.5,45.5,
84,Guadeloupe,40000.0,,2000.0,,,,,,,,,,,,,,,,5.7535,90206.0,12542.0,763.0,0.97,0.03,,,,,,,5.7535,,,,,,,,440000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,,,
85,Martinique,34000.0,,1000.0,,,,,,,,,,,,,,,,2.7738,68624.0,12964.0,789.0,0.98,0.02,,,,,,,2.7738,,,,,,,,390000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,,,
86,Saint Martin,3000.0,,100.0,,,,,,,,,,,,,,,,27.7308,,,,,,,,,,,,27.7308,,,,,,,,,,,,,,,,,,,,,,
87,Bulgaria,590000.0,176640.0,59400.0,23817.0,0.746,0.738,0.991,0.979,0.275,41.3,40.4,0.34,1.0,121.0,142.0,3300.0,100.0,,1.3047,184363.0,1683626.0,6427.0,0.97,0.03,,98.3886,36950.0,0.0,3000.0,,1.3047,1.0,25.0,1000.0,,,,23.8,6150000.0,1020000.0,5000.0,5000.0,5000.0,5000.0,38.9,42.5,35.3,9.7,15.3,4.4,5.1,41.3,31.6
88,Brazil,17510000.0,1316300.0,803000.0,14916.0,0.695,0.665,1.0,0.98,0.138,53.4,53.9,20.7,0.5,46215.0,43200.0,930000.0,13000.0,222000.0,27.3825,1079708.0,1897128.0,811707.0,0.95,0.05,91500.0,92.5868,366500.0,395000.0,1340000.0,5114.28,27.3825,1.0,22.1,2852000.0,11.9,,5804.0,26.5,173300000.0,40000.0,5000.0,250000.0,5540000.0,110000.0,16.5,21.5,11.5,6.9,10.9,3.0,13.7,53.4,32.8
89,Mauritius,106000.0,4845.0,11000.0,20292.0,0.679,0.6,0.992,0.98,0.144,36.8,36.8,,,,6.0,14000.0,1000.0,,2.9199,28893.0,182973.0,2652.0,0.94,0.06,,90.616,0.0,2550.0,0.0,,2.9199,,10.8,,,,,10.3,420000.0,220000.0,630000.0,5000.0,5000.0,5000.0,26.9,48.3,5.4,9.5,16.3,2.8,6.3,36.8,
90,Syria,1547000.0,655500.0,124000.0,,0.568,0.285,0.953,0.965,0.067,,,,,,292.0,,,6568000.0,0.8793,868711.0,8457214.0,10599.0,0.93,0.07,500.0,86.3039,169000.0,100000.0,0.0,,0.8793,,27.8,35000.0,2.5,,1497.0,35.2,1060000.0,18930000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,8.6,37.5,
91,Ghana,2280000.0,18600.0,28000.0,5693.0,0.666,0.598,0.951,0.978,0.135,43.5,43.5,,,,835.0,350000.0,13000.0,100000.0,2.0912,476412.0,1004324.0,13200.0,0.99,0.01,,76.5759,15500.0,0.0,0.0,,2.0912,1.0,10.9,172000.0,,,,23.4,18260000.0,3860000.0,5000.0,5000.0,1200000.0,5000.0,3.7,7.0,0.4,6.6,11.8,1.2,4.2,43.5,
92,Tonga,9000.0,,200.0,6191.0,,,,,,37.6,37.6,,,,2.0,,,,0.9734,3742.0,74550.0,176.0,0.96,0.05,,99.3979,,,,,0.9734,,48.2,,,,,22.5,100000.0,5000.0,5000.0,5000.0,5000.0,5000.0,30.2,48.4,12.1,3.8,5.0,2.6,3.1,37.6,
93,Mongolia,242000.0,323400.0,7000.0,11825.0,0.716,0.769,0.993,0.98,0.122,32.7,32.7,,,,36.0,,,,6.1825,21345.0,82098.0,5832.0,0.96,0.05,,98.3676,9700.0,7500.0,137000.0,,6.1825,,20.6,16000.0,,,,28.4,60000.0,90000.0,5000.0,1520000.0,100000.0,5000.0,27.6,49.1,6.2,17.9,30.7,5.4,7.0,32.7,
94,Spain,3464000.0,333660.0,264196.0,39121.0,0.788,0.699,0.998,0.965,0.491,34.7,34.7,0.15,0.42,290.0,330.0,150000.0,1000.0,30000.0,0.6211,6842202.0,1489823.0,55433.0,0.93,0.07,13000.0,98.1145,120350.0,75800.0,15150.0,14289.76,0.6211,8.0,23.8,,,,,20.7,36240000.0,980000.0,20000.0,5000.0,20000.0,60000.0,27.9,29.1,26.7,7.7,11.4,4.2,15.5,34.7,32.4
95,Argentina,3256000.0,679770.0,391000.0,20751.0,0.752,0.639,1.0,0.977,0.39,42.9,41.4,3.07,1.2,3102.0,3120.0,140000.0,1400.0,,5.3245,2281728.0,1076148.0,109405.0,0.96,0.04,175000.0,98.09,72100.0,31250.0,0.0,,5.3245,5.0,28.3,547000.0,2.5,,95.0,35.5,34420000.0,400000.0,5000.0,20000.0,330000.0,200000.0,21.8,28.2,15.4,8.4,13.7,3.3,11.5,42.9,30.9
96,Dominican Republic,795000.0,106495.0,46000.0,18608.0,0.699,0.646,1.0,0.98,0.172,41.9,43.7,,,,1110.0,72000.0,1900.0,,10.0497,603794.0,1608567.0,26600.0,0.97,0.03,500.0,92.4654,56050.0,15000.0,0.0,,10.0497,,27.6,,,,142.0,21.0,8740000.0,5000.0,5000.0,5000.0,90000.0,5000.0,9.4,11.2,7.5,4.9,8.0,1.8,6.1,41.9,41.2
97,Iran,5890000.0,3333550.0,98000.0,13073.0,0.582,0.375,0.953,0.963,0.036,42.0,40.8,,,,945.0,54000.0,3200.0,15000.0,2.4992,2797235.0,1325113.0,189000.0,0.97,0.03,,87.1725,610000.0,40000.0,350000.0,,2.4992,1.0,25.8,2546000.0,157.8,,304.1,,110000.0,73570000.0,20000.0,5000.0,5000.0,5000.0,14.0,24.6,3.5,5.2,7.7,2.8,9.7,42.0,
98,Ireland,342000.0,26636.0,3000.0,94392.0,0.8,0.733,0.998,0.964,0.504,31.4,32.8,0.25,0.28,39.0,35.0,7800.0,100.0,8014.0,0.8716,871256.0,734317.0,3802.0,0.96,0.04,,99.0,9500.0,0.0,4050.0,23447.04,0.8716,11.0,25.3,,,1514.0,,13.1,4110000.0,50000.0,10000.0,5000.0,5000.0,5000.0,23.6,26.1,21.2,9.6,15.4,3.9,5.6,31.4,34.1
99,Israel,557000.0,1016900.0,41000.0,40547.0,0.724,0.705,1.0,0.964,0.227,39.0,37.0,1.04,0.67,178.0,169.0,9000.0,100.0,25000.0,1.492,1953575.0,358691.0,19376.0,0.99,0.01,6930000.0,97.1,169500.0,8000.0,465000.0,17713.12,1.492,13.0,26.1,114000.0,,,,16.9,150000.0,1380000.0,5000.0,20000.0,20000.0,5610000.0,25.5,35.2,15.8,5.3,8.4,2.3,4.3,39.0,36.6
100,Sudan,2768000.0,590170.0,129000.0,4098.0,,,,,,34.2,34.2,,,,633.0,49000.0,2300.0,2730000.0,5.1481,1379147.0,2104887.0,21000.0,0.98,0.02,,58.6013,104300.0,105000.0,0.0,,5.1481,,8.6,67000.0,1.5,,138.1,46.5,1810000.0,30490000.0,5000.0,5000.0,950000.0,5000.0,,,,3.8,4.9,2.8,17.4,34.2,
101,Slovakia,355000.0,33150.0,43000.0,32709.0,0.712,0.682,1.0,0.98,0.184,,25.2,0.26,0.94,99.0,107.0,1200.0,100.0,,1.137,197161.0,419651.0,10333.0,0.93,0.07,,99.6,15850.0,0.0,0.0,10518.39,1.137,,20.5,,,,,,4660000.0,5000.0,5000.0,5000.0,5000.0,5000.0,32.3,38.6,26.0,12.1,21.2,3.4,6.7,,32.6
102,Gambia,137000.0,1080.0,5000.0,2276.0,0.644,0.607,0.891,0.968,0.112,35.9,35.9,,,,36.0,27000.0,1300.0,,,,,543.0,0.98,0.03,,55.5728,800.0,0.0,0.0,,,,10.3,,,,,48.6,80000.0,1640000.0,5000.0,5000.0,5000.0,5000.0,14.4,27.3,1.5,4.8,6.6,3.0,10.2,35.9,
103,Maldives,23000.0,9500.0,3000.0,19609.0,0.642,0.491,1.0,0.955,0.121,31.3,31.3,,,,1.0,,,,0.7219,70079.0,3715.0,1800.0,0.96,0.04,,99.321,,,,,0.7219,,8.6,,,,,8.2,5000.0,310000.0,5000.0,5000.0,5000.0,5000.0,,,,2.7,3.9,0.8,5.3,31.3,
104,Dominica,5000.0,,600.0,11072.0,,,,,,,,,,,3.0,,100.0,,26.5883,8284.0,78191.0,204.0,1.0,0.5,,94.0,,,,,26.5883,,27.9,,,,,,70000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,11.0,,
105,Belarus,581000.0,780600.0,165000.0,20187.0,0.758,0.84,0.999,0.977,0.216,25.3,25.2,0.14,,,169.0,28000.0,200.0,,2.3909,1067090.0,1483626.0,32556.0,0.89,0.11,,99.722,45350.0,110000.0,289500.0,,2.3909,2.0,24.5,33000.0,,,,5.0,6830000.0,20000.0,5000.0,5000.0,5000.0,5000.0,26.6,42.8,10.4,21.2,36.7,7.7,4.1,25.3,
106,Armenia,186000.0,509240.0,18000.0,13261.0,0.673,0.655,0.998,0.95,0.091,29.9,34.4,,,,66.0,4800.0,100.0,,1.6939,190349.0,958190.0,2145.0,0.97,0.03,500.0,99.7684,44800.0,4300.0,210000.0,,1.6939,,20.2,,,,,26.4,3050000.0,5000.0,5000.0,5000.0,5000.0,5000.0,26.7,51.8,1.6,3.3,5.6,1.3,18.3,29.9,
