,country,fireArms,militaryArms,lawEnfArms,GDPPC,genderEquality,genderEqualityInEconomy,genderEqualityInEducation,genderEqualityInHealth,genderEqualityInPolitic,giniWB,giniCIA,homicideByGuns,suicideByGuns,gunDeath,gunViolence,HIVCases,HIVDeaths,homeless,homicideRate,immigrants,emigrants,incarcerations,incarcerationMrate,incarcerationFrate,jewishPop,literacyRate,activeDutyMilitary,paramilitary,reservesMilitary,annualMinimalWageEarnings,MurderRate,nobelPrize,obesityRate,oilProduction,oilReserves,PISAScore,policeKillings,povertyRate,christians,muslims,hindus,buddhists,folkReligions,jews,smokingRate,smokingRateMale,smokingRateFemale,suicideRate,suicideRateMale,suicideRateFemale,unemploymentRate,gini,workWeekAverage
167,Vietnam,1562000.0,3829200.0,285000.0,10869.0,0.701,0.765,0.982,0.945,0.113,35.7,35.7,,,,520.0,250000.0,3800.0,162000.0,1.5281,76767.0,3392025.0,125697.0,0.88,0.12,,94.5143,482000.0,5040000.0,5000000.0,,1.5281,1.0,2.1,190000.0,4.4,,,6.7,7170000.0,160000.0,5000.0,14380000.0,39750000.0,5000.0,,,,7.5,10.4,4.7,2.4,35.7,41.0
168,Myanmar,877000.0,788900.0,76600.0,5242.0,0.681,0.657,0.975,0.98,0.113,30.7,,,,,591.0,,,,2.2585,76446.0,3711751.0,92000.0,0.88,0.12,,93.0901,406000.0,107000.0,0.0,,2.2585,1.0,5.8,7500.0,,,,24.8,3750000.0,1900000.0,820000.0,38410000.0,2760000.0,5000.0,45.5,70.2,20.8,2.9,4.9,1.1,0.5,30.7,47.1
169,Kenya,750000.0,45790.0,51527.0,4926.0,0.692,0.672,0.929,0.975,0.193,40.8,40.8,,,,1090.0,1400000.0,29000.0,394000.0,4.9287,1050147.0,535348.0,42596.0,0.93,0.07,500.0,78.0234,24100.0,5000.0,0.0,,4.9287,1.0,7.1,,,,222.0,36.1,34340000.0,3920000.0,60000.0,5000.0,690000.0,5000.0,11.8,20.8,2.8,6.1,9.1,3.2,5.0,40.8,
170,Nepal,444000.0,183540.0,62000.0,4061.0,0.683,0.63,0.895,0.965,0.241,32.8,32.8,,,,364.0,30000.0,1000.0,,2.2998,487564.0,2599701.0,25758.0,0.95,0.05,,64.6636,96600.0,15000.0,0.0,,2.2998,,4.1,,,,5.1,25.2,140000.0,1370000.0,24170000.0,3080000.0,1100000.0,5000.0,31.9,48.6,15.3,9.0,16.4,2.7,11.4,32.8,
171,Guinea-Bissau,29000.0,10260.0,4000.0,2348.0,,,,,,50.7,50.7,,,,109.0,37000.0,1500.0,,1.1487,17945.0,111790.0,596.0,0.97,0.03,,59.7728,4450.0,0.0,0.0,,1.1487,,9.5,,,,,69.3,300000.0,680000.0,5000.0,5000.0,470000.0,5000.0,,,,7.0,10.2,3.9,,50.7,
172,Comoros,12000.0,600.0,2000.0,3048.0,,,,,,45.3,45.3,,,,19.0,,,,,12496.0,150823.0,322.0,0.98,0.02,,78.1374,,,,,,,7.8,,,,,42.4,5000.0,720000.0,5000.0,5000.0,5000.0,5000.0,19.5,29.9,9.2,5.4,7.0,3.8,8.1,45.3,
173,Brunei,6000.0,20220.0,4000.0,62371.0,0.678,0.722,0.992,0.965,0.031,,,,,,3.0,,,,0.4945,,,841.0,0.88,0.12,,96.6565,7200.0,450.0,700.0,,0.4945,,14.1,96000.0,1.1,,,,40000.0,300000.0,5000.0,30000.0,20000.0,5000.0,15.5,28.6,2.5,2.7,4.4,0.8,,,
174,DR Congo,946000.0,161100.0,46000.0,1106.0,0.576,0.571,0.658,0.976,0.099,42.1,42.1,,,,1770.0,510000.0,17000.0,5332000.0,,952871.0,1832069.0,20550.0,0.97,0.03,,77.2217,134250.0,0.0,0.0,,,1.0,6.7,,,,389.0,63.9,63210000.0,970000.0,30000.0,5000.0,490000.0,5000.0,,,,6.7,10.6,2.8,4.5,42.1,
175,Tuvalu,100.0,,26.0,4497.0,,,,,,39.1,39.1,,,,,,,,18.615,239.0,3670.0,11.0,1.0,0.0,,,,,,,18.615,,51.6,,,,,26.3,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,48.7,66.0,31.4,,,,8.5,39.1,
176,Mali,206000.0,15800.0,3000.0,2401.0,0.591,0.475,0.757,0.959,0.172,33.0,40.1,,,,516.0,110000.0,4600.0,332700.0,,485829.0,1303511.0,7000.0,0.97,0.03,,33.0689,13000.0,7800.0,0.0,,,,8.6,,,,60.1,42.1,370000.0,14510000.0,5000.0,5000.0,410000.0,5000.0,12.0,22.4,1.7,4.1,5.3,2.9,1.6,33.0,
177,Tunisia,123000.0,68020.0,73000.0,10120.0,0.649,0.445,0.97,0.969,0.212,32.8,32.8,,,,93.0,4500.0,200.0,,3.0608,60145.0,902268.0,23484.0,0.97,0.03,,81.0542,35800.0,12000.0,0.0,,3.0608,1.0,26.9,31000.0,0.4,,,15.2,20000.0,10430000.0,5000.0,5000.0,5000.0,5000.0,26.0,49.1,2.9,3.3,4.7,1.9,15.1,32.8,
178,Palestine,56000.0,44410.0,33000.0,,,,,,,33.7,,,,,121.0,,,,0.4935,272784.0,4022791.0,,,,,96.668,,,,,0.4935,1.0,,,,,,29.2,100000.0,3940000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,,33.7,
179,Chad,151000.0,25020.0,34000.0,1611.0,0.593,0.693,0.589,0.97,0.118,43.3,43.3,,,,570.0,110000.0,3000.0,342680.0,,547494.0,222303.0,8700.0,0.98,0.02,,40.0182,33250.0,11900.0,0.0,,,,6.1,68000.0,1.5,,,42.3,4560000.0,6210000.0,5000.0,5000.0,160000.0,5000.0,11.8,21.3,2.3,6.4,9.6,3.3,1.1,43.3,
180,Guinea,130000.0,23080.0,13000.0,2604.0,0.66,0.839,0.68,0.966,0.157,33.7,33.7,,,,480.0,110000.0,3300.0,,,121437.0,550790.0,3782.0,0.97,0.03,,30.4728,9700.0,2600.0,0.0,,,,7.7,,,,,43.7,1090000.0,8430000.0,5000.0,5000.0,270000.0,5000.0,,,,7.0,9.2,4.9,5.0,33.7,
181,Papua New Guinea,79000.0,7200.0,4800.0,3833.0,0.635,0.684,0.895,0.959,0.0,41.9,50.9,,,,315.0,55000.0,500.0,,9.7531,31068.0,4810.0,5087.0,0.95,0.05,,63.4335,3600.0,0.0,0.0,,9.7531,,21.3,37000.0,,,,39.9,6800000.0,5000.0,5000.0,5000.0,30000.0,5000.0,,,,3.0,4.3,1.6,2.6,41.9,
182,Burkina Faso,175000.0,43780.0,43000.0,2262.0,0.651,0.689,0.873,0.978,0.066,35.3,35.3,,,,271.0,97000.0,3300.0,700000.0,1.2504,723989.0,1599347.0,7621.0,0.98,0.02,,37.7467,11200.0,250.0,0.0,,1.2504,,5.6,,,,116.0,41.4,3710000.0,10150000.0,5000.0,5000.0,2530000.0,5000.0,16.0,24.9,7.2,7.5,11.3,3.7,4.7,35.3,
183,Zambia,158000.0,41040.0,16000.0,3342.0,0.726,0.804,0.938,0.98,0.18,57.1,57.1,,,,512.0,1500000.0,24000.0,,5.3717,187955.0,200700.0,22823.0,0.97,0.03,,85.1173,15100.0,1400.0,3000.0,,5.3717,,8.1,,,,,54.4,12770000.0,70000.0,10000.0,5000.0,40000.0,5000.0,14.7,25.0,4.4,7.3,12.0,2.7,12.5,57.1,
184,Tanzania,427000.0,190050.0,37000.0,2821.0,0.707,0.703,0.921,0.97,0.235,40.5,40.5,,,,1140.0,1700000.0,32000.0,,6.4827,426017.0,327863.0,32438.0,0.97,0.03,,80.3595,27000.0,1400.0,80000.0,,6.4827,1.0,8.4,,,,,26.4,27540000.0,15770000.0,50000.0,5000.0,800000.0,5000.0,13.3,23.5,3.1,4.3,6.6,2.0,2.1,40.5,
185,Uganda,331000.0,116660.0,54000.0,2574.0,0.717,0.692,0.898,0.98,0.296,42.8,42.8,,,,853.0,1400000.0,22000.0,500000.0,10.5245,1720313.0,781440.0,65000.0,0.96,0.04,,73.8098,45000.0,1400.0,10000.0,,10.5245,,5.3,,,,,21.4,28980000.0,3840000.0,100000.0,5000.0,290000.0,5000.0,9.8,15.5,4.0,4.6,7.6,1.7,10.1,42.8,
186,Togo,58000.0,12850.0,5000.0,2199.0,0.683,0.787,0.782,0.979,0.185,43.1,43.1,,,,283.0,110000.0,3000.0,100000.0,,279936.0,545409.0,4117.0,0.98,0.02,,66.5376,8550.0,750.0,0.0,,,,8.4,,,,,55.1,2640000.0,840000.0,5000.0,5000.0,2150000.0,5000.0,7.6,13.5,1.6,8.8,13.8,3.9,3.7,43.1,
187,Bhutan,6000.0,15200.0,4000.0,12060.0,0.639,0.556,0.954,0.963,0.082,37.4,37.4,,,,8.0,1300.0,100.0,0.0,1.193,53612.0,51998.0,1119.0,0.96,0.04,,63.9068,,,,,1.193,,6.4,,,,,8.2,5000.0,5000.0,160000.0,540000.0,10000.0,5000.0,,,,4.6,6.3,2.7,2.5,37.4,
188,Kiribati,900.0,,200.0,2200.0,,,,,,37.0,,,,,1.0,,,,7.5217,3126.0,5103.0,129.0,0.99,0.01,,,,,,,7.5217,,46.0,,,,,21.8,90000.0,5000.0,5000.0,5000.0,5000.0,5000.0,52.0,68.6,35.5,28.3,48.6,8.7,8.6,37.0,
189,British Virgin Islands,300.0,,500.0,,,,,,,,,,,,,,,,8.3257,22164.0,5355.0,143.0,0.96,0.05,,97.8,,,,,8.3257,,,,,,,,20000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,3.3,,
190,Malaysia,217000.0,428170.0,102000.0,27402.0,0.676,0.638,0.994,0.972,0.102,41.1,41.0,,,,321.0,92000.0,2000.0,,2.1277,3476560.0,1860037.0,69507.0,0.96,0.05,,94.637,113000.0,267200.0,51600.0,,2.1277,,15.6,501000.0,2.7,,,5.6,2670000.0,18100000.0,1720000.0,5010000.0,650000.0,5000.0,21.8,42.7,1.0,5.7,8.9,2.3,4.5,41.1,42.3
191,Madagascar,168000.0,25320.0,20000.0,1599.0,0.725,0.754,0.982,0.965,0.2,42.6,42.6,,,,378.0,42000.0,1800.0,,,35563.0,193526.0,27600.0,0.94,0.06,500.0,64.6563,13500.0,8100.0,0.0,,,,5.3,,,,,70.7,17680000.0,620000.0,10000.0,5000.0,940000.0,5000.0,28.9,46.9,11.0,5.5,7.6,3.4,1.8,42.6,
192,Micronesia,700.0,,200.0,3446.0,,,,,,40.1,40.1,,,,3.0,,,,,2832.0,24945.0,132.0,1.0,0.0,,89.0,,,,,,,45.8,,,,,41.2,110000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,28.2,43.2,12.7,8.9,40.1,
193,American Samoa,400.0,,90.0,,,,,,,,,,,,1.0,,,,5.3822,23608.0,1832.0,193.0,0.96,0.04,,97.3442,,,,,5.3822,,,,,,,,50000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,9.2,,
194,Niger,117000.0,11110.0,10000.0,1259.0,0.629,0.673,0.726,0.964,0.155,34.3,34.3,,,,691.0,31000.0,1100.0,,4.4282,348056.0,399707.0,9187.0,0.96,0.04,,19.1026,5300.0,5400.0,0.0,,4.4282,,5.5,8000.0,,,,40.8,120000.0,15270000.0,5000.0,5000.0,5000.0,5000.0,8.6,16.3,0.8,5.3,7.2,3.3,7.8,34.3,
195,Rwanda,66000.0,66500.0,14000.0,2337.0,0.805,0.726,0.957,0.974,0.563,43.7,43.7,,,,195.0,220000.0,2500.0,,2.5772,513907.0,492489.0,76099.0,0.95,0.05,,71.2435,33000.0,2000.0,0.0,,2.5772,,5.8,,,,37.1,38.2,9920000.0,190000.0,5000.0,5000.0,100000.0,5000.0,13.3,19.7,6.9,5.6,8.2,3.0,15.3,43.7,
196,Sierra Leone,35000.0,10200.0,12000.0,1725.0,0.655,0.713,0.86,0.966,0.083,35.7,35.7,,,,181.0,80000.0,3200.0,,1.729,53746.0,152486.0,3808.0,0.99,0.02,,48.4319,8500.0,0.0,0.0,,1.729,,8.7,,,,,56.8,1230000.0,4580000.0,5000.0,5000.0,50000.0,5000.0,19.8,31.0,8.5,6.7,8.3,5.1,3.2,35.7,
197,Fiji,5000.0,16700.0,2000.0,11567.0,0.674,0.568,0.997,0.972,0.16,36.7,36.7,,,,5.0,1300.0,100.0,,2.3083,14087.0,233856.0,2506.0,0.98,0.03,,93.7,3500.0,0.0,6000.0,,2.3083,,30.2,,,,,29.9,550000.0,50000.0,240000.0,5000.0,5000.0,5000.0,26.7,42.3,11.1,9.0,12.2,5.7,4.3,36.7,
198,Marshall Islands,300.0,,80.0,3786.0,,,,,,,,,,,2.0,,,,3.983,3298.0,10886.0,35.0,1.0,0.0,,98.2651,,,,,3.983,,52.9,,,,,,50000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,6.4,,
199,Palau,100.0,,30.0,14309.0,,,,,,,,,,,,,,,11.1663,5088.0,2656.0,86.0,0.95,0.05,,99.524,,,,,11.1663,,55.3,,,,,24.9,20000.0,5000.0,5000.0,5000.0,5000.0,5000.0,23.7,36.3,11.2,,,,1.4,,
200,Bangladesh,659000.0,410305.0,333000.0,5307.0,0.719,0.418,0.951,0.962,0.546,32.4,32.4,,,,1170.0,14000.0,1000.0,5000000.0,2.3733,2115408.0,7401763.0,83107.0,0.96,0.04,,61.4938,163050.0,63900.0,0.0,,2.3733,2.0,3.6,,,,466.0,24.3,450000.0,134430000.0,12680000.0,920000.0,100000.0,5000.0,39.1,60.6,17.7,3.7,5.7,1.7,4.4,32.4,46.5
201,Ethiopia,377000.0,525600.0,79000.0,2908.0,0.691,0.56,0.85,0.971,0.382,35.0,35.0,,,,3270.0,620000.0,13000.0,2693000.0,8.7925,1085517.0,946129.0,110000.0,0.96,0.04,,49.0315,138000.0,0.0,0.0,,8.7925,1.0,4.5,,,,,23.5,52070000.0,28680000.0,5000.0,5000.0,2130000.0,5000.0,4.6,8.3,0.9,5.4,7.7,3.1,2.3,35.0,
202,Uzbekistan,127000.0,268400.0,150000.0,7449.0,,,,,,35.3,36.8,,,,186.0,58000.0,1000.0,,1.1358,1162007.0,2027823.0,22867.0,,,,99.9952,48000.0,20000.0,0.0,,1.1358,,16.6,4400.0,0.6,,,14.1,630000.0,26550000.0,5000.0,10000.0,10000.0,10000.0,12.3,23.3,1.3,8.0,11.3,4.8,9.0,35.3,
203,Tajikistan,37000.0,56490.0,9000.0,3676.0,0.65,0.574,0.942,0.969,0.112,34.0,34.0,,,,105.0,14000.0,500.0,,1.6369,276031.0,586851.0,8000.0,0.98,0.02,500.0,99.7811,8800.0,7500.0,0.0,,1.6369,,14.2,300.0,,,,26.3,110000.0,6650000.0,5000.0,5000.0,5000.0,5000.0,,,,4.3,5.7,2.8,6.9,34.0,
204,Turkmenistan,23000.0,184700.0,27000.0,16520.0,,,,,,40.8,40.8,,,,78.0,,,,4.2203,194920.0,242554.0,35000.0,0.94,0.07,500.0,99.6929,36500.0,5000.0,0.0,,4.2203,,18.6,186000.0,0.6,,,,320000.0,4690000.0,5000.0,5000.0,5000.0,5000.0,,,,5.7,8.8,2.7,4.0,40.8,
205,Eritrea,23000.0,668550.0,12000.0,1821.0,,,,,,,,,,,,13000.0,500.0,,,13934.0,802822.0,,,,,73.8453,201750.0,0.0,120000.0,,,,5.0,,,,,69.0,3310000.0,1920000.0,5000.0,5000.0,20000.0,5000.0,7.2,14.2,0.3,10.9,16.6,5.2,,,
206,Japan,377000.0,745514.0,252000.0,42248.0,0.656,0.604,0.983,0.973,0.061,32.9,32.9,0.0,0.04,76.0,455.0,30000.0,100.0,3992.0,0.2626,2770996.0,808825.0,47064.0,0.92,0.09,,99.0,247150.0,14350.0,56000.0,,0.2626,29.0,4.3,3400.0,,1560.0,2.0,15.7,2030000.0,200000.0,30000.0,45820000.0,450000.0,5000.0,21.9,33.2,10.5,15.3,21.8,9.2,2.8,32.9,32.5
207,North Korea,76000.0,8363100.0,76000.0,,,,,,,,,,,,130.0,,,,,49549.0,110377.0,,,,,,1280000.0,5889000.0,600000.0,,,,6.8,,,,,,480000.0,5000.0,5000.0,370000.0,3000000.0,5000.0,18.8,37.5,0.0,9.4,11.2,7.6,,,
208,Malawi,47000.0,24480.0,8400.0,993.0,0.671,0.624,0.915,0.98,0.164,44.7,44.7,,,,275.0,990000.0,12000.0,,1.8122,191362.0,311052.0,14500.0,0.99,0.01,,65.9638,10700.0,4200.0,0.0,,1.8122,,5.8,,,,,51.5,12320000.0,1930000.0,5000.0,5000.0,260000.0,5000.0,12.8,20.4,5.2,5.4,9.2,1.7,1.3,44.7,
209,Benin,33000.0,8700.0,26000.0,3437.0,0.653,0.814,0.733,0.973,0.093,47.8,47.8,,,,378.0,75000.0,2000.0,,1.1275,394276.0,681827.0,9000.0,0.97,0.03,,38.4471,7250.0,4800.0,0.0,,1.1275,,9.6,,,,,38.5,4690000.0,2110000.0,5000.0,5000.0,1600000.0,5000.0,7.2,12.4,1.9,7.8,11.8,3.8,1.5,47.8,
210,Singapore,20000.0,574140.0,9000.0,97057.0,0.727,0.749,0.99,0.963,0.208,,45.9,0.005,0.0165,1.0,7.0,8000.0,100.0,,0.1563,2523648.0,348464.0,11198.0,0.89,0.11,,96.7746,51000.0,7400.0,252500.0,,0.1563,,6.1,,,1669.0,,,920000.0,730000.0,260000.0,1730000.0,120000.0,5000.0,16.5,27.8,5.1,11.2,15.0,7.1,4.1,,44.8
211,Timor-Leste,3000.0,2527.0,4000.0,3382.0,,,,,,28.7,28.7,,,,12.0,1200.0,100.0,,4.096,8399.0,39588.0,757.0,0.96,0.04,,,,,,,4.096,,3.8,,,,,41.8,1120000.0,5000.0,5000.0,5000.0,5000.0,5000.0,38.2,65.8,10.7,3.7,5.3,2.0,4.7,28.7,
212,South Korea,79000.0,2688020.0,115000.0,44621.0,0.687,0.586,0.973,0.976,0.214,31.4,35.4,0.02,0.04,41.0,252.0,,,11340.0,0.6038,1728182.0,2204554.0,53920.0,0.93,0.07,500.0,97.9659,599000.0,3013500.0,3100000.0,19880.75,0.6038,1.0,4.7,,,1559.0,,,14170000.0,100000.0,5000.0,11050000.0,400000.0,5000.0,22.0,38.2,5.9,28.6,40.2,16.9,3.9,31.4,38.1
213,Solomon Islands,1000.0,,70.0,2455.0,,,,,,37.1,37.1,,,,22.0,,,,3.7746,2520.0,4270.0,500.0,0.98,0.02,,84.1,,,,,3.7746,,22.5,,,,,12.7,520000.0,5000.0,5000.0,5000.0,5000.0,5000.0,37.9,55.9,19.9,14.7,27.0,1.9,0.7,37.1,
214,Indonesia,82000.0,1711450.0,429000.0,12222.0,0.688,0.647,0.97,0.971,0.164,38.2,37.8,,,,890.0,540000.0,24000.0,3000000.0,0.4345,355505.0,4601369.0,266259.0,0.95,0.05,500.0,95.4377,395500.0,280000.0,400000.0,,0.4345,,6.9,,2.4,,77.1,9.4,23660000.0,209120000.0,4050000.0,1720000.0,750000.0,5000.0,37.9,70.5,5.3,2.4,3.7,1.1,4.3,38.2,38.8
215,Taiwan,10000.0,2022150.0,76000.0,55724.0,,,,,,,33.6,0.6,0.12,207.0,87.0,,,,0.815,,,51673.0,0.91,0.09,500.0,96.1,163000.0,11800.0,1657000.0,,0.815,4.0,,,,,2.0,,1280000.0,10000.0,5000.0,4950000.0,10260000.0,5000.0,,,,,,,,,40.1
216,United Kingdom,,,,44117.0,0.775,0.716,0.999,0.966,0.419,35.1,34.8,0.06,0.15,155.0,248.0,,,365535.0,1.2049,9359587.0,4732510.0,,,,292000.0,99.0,148500.0,0.0,78600.0,20053.09,1.2049,137.0,27.8,772000.0,2.5,1511.0,3.0,18.6,39890000.0,2960000.0,890000.0,280000.0,60000.0,290000.0,19.2,21.1,17.3,7.9,11.8,4.0,3.7,35.1,32.1
217,Puerto Rico,,,,34025.0,,,,,,,,,,,637.0,,,,21.0883,247132.0,1850529.0,8884.0,0.96,0.04,,93.3294,,,,,21.0883,,,,,,,,3630000.0,5000.0,5000.0,10000.0,30000.0,5000.0,,,,,,,8.3,,
218,Nauru,,,,9856.0,,,,,,34.8,,,,,,,,,,2201.0,2454.0,14.0,0.93,0.07,,,,,,,,,61.0,,,,,,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,52.1,51.7,52.6,,,,13.3,34.8,
219,Eswatini,,,,8957.0,0.729,0.797,0.992,0.98,0.147,54.6,54.6,37.16,,426.0,,200000.0,2400.0,,11.5575,32858.0,50039.0,3796.0,0.97,0.03,,87.4702,,,,,11.5575,,16.5,,,,,58.9,1040000.0,5000.0,5000.0,5000.0,10000.0,5000.0,10.7,19.1,2.2,29.4,55.1,4.7,22.7,54.6,
220,Trinidad And Tobago,,,,,0.749,0.703,0.994,0.98,0.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Bosnia And Herzegovina,,,,,0.713,0.608,0.967,0.974,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Jersey,,,,,,,,,,,0.3,,,,,,,,,,,146.0,0.93,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Faroe Islands,,,,,,,,,,,22.7,,,,,,,,,6812.0,12927.0,9.0,1.0,0.0,,,,,,,,1.0,,,,,,,50000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,3.7,,
224,Anguilla,,,,,,,,,,,,,,,,,,,28.3407,5715.0,2505.0,55.0,1.0,0.0,,95.0,,,,,28.3407,,,,,,,,10000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,,,
225,Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,15.7654,998.0,433.0,,,,,99.0,,,,,15.7654,,,,,,,,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,,,
226,Mayotte,,,,,,,,,,,,,,,,,,,5.9261,111540.0,6767.0,431.0,1.0,0.2,,,,,,,5.9261,,,,,,,,5000.0,200000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,,,
227,Cook Islands,,,,,,,,,,,,,,,,,,,3.4877,4579.0,21106.0,47.0,0.92,0.08,,95.0,,,,,3.4877,,55.9,,,,,,20000.0,5000.0,5000.0,5000.0,5000.0,5000.0,26.6,31.3,21.8,,,,,,
228,Isle of Man,,,,,,,,,,,,,,,,,,,0.0,43040.0,12032.0,106.0,0.94,0.06,,,,,,,0.0,,,,,,,,70000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,2.7,,
229,Antigua And Barbuda,,,,,,,,,,,,,,,,,,,,29386.0,66561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Western Sahara,,,,,,,,,,,,,,,,,,,,5424.0,194932.0,,,,,,,,,,,,,,,,,,5000.0,530000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,,,
231,Saint Vincent And The Grenadines,,,,,,,,,,,,,,,,,,,,4738.0,55525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Wallis and Futuna,,,,,,,,,,,,,,,,,,,,2040.0,11917.0,,,,,50.0,,,,,,,,,,,,,10000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,,,
233,Tokelau,,,,,,,,,,,,,,,,,,,,1238.0,2112.0,,,,,,,,,,,,,,,,,,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,,,
234,Vatican City,,,,,,,,,,,,,,,,,,,,809.0,174.0,,,,,,,,,,,,,,,,,,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,,,
235,Niue,,,,,,,,,,,,,,,,,,,,588.0,5186.0,,,,,95.0,,,,,,,50.0,,,,,,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,,,
236,Guernsey,,,,,,,,,,,,,,,,,,,,,,82.0,0.96,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
